timestamp,ticker,price,equity
2024-08-27,PORTFOLIO,0,10000000.0
2024-08-28,PORTFOLIO,0,9986399.222778331
2024-08-29,PORTFOLIO,0,9846687.995086456
2024-08-30,PORTFOLIO,0,9907866.633804107
2024-09-02,PORTFOLIO,0,9889765.84670999
2024-09-03,PORTFOLIO,0,9840755.549957061
2024-09-04,PORTFOLIO,0,9821670.188333526
2024-09-05,PORTFOLIO,0,9879044.151580572
2024-09-06,PORTFOLIO,0,9767190.299957037
2024-09-09,PORTFOLIO,0,9778966.28063941
2024-09-10,PORTFOLIO,0,9800200.151580572
2024-09-11,PORTFOLIO,0,9860688.43024093
2024-09-12,PORTFOLIO,0,9978167.542225182
2024-09-13,PORTFOLIO,0,9916320.51994735
2024-09-19,PORTFOLIO,0,9919947.561458886
2024-09-20,PORTFOLIO,0,9902663.102636516
2024-09-23,PORTFOLIO,0,9984703.174459636
2024-09-24,PORTFOLIO,0,10063182.775648296
2024-09-25,PORTFOLIO,0,10096411.724661052
2024-09-26,PORTFOLIO,0,10216365.80544871
2024-09-27,PORTFOLIO,0,10233138.194761455
2024-09-30,PORTFOLIO,0,10157427.169682622
2024-10-02,PORTFOLIO,0,10012471.164136052
2024-10-04,PORTFOLIO,0,10091457.883099675
2024-10-07,PORTFOLIO,0,10114000.004156414
2024-10-08,PORTFOLIO,0,10142475.403005902
2024-10-10,PORTFOLIO,0,10177154.12668449
2024-10-11,PORTFOLIO,0,10072745.366689984
2024-10-14,PORTFOLIO,0,10155436.635717694
2024-10-15,PORTFOLIO,0,10146348.608068768
2024-10-16,PORTFOLIO,0,10134718.82086784
2024-10-17,PORTFOLIO,0,10191679.698034588
2024-10-18,PORTFOLIO,0,10152549.88399345
2024-10-21,PORTFOLIO,0,10219055.801245037
2024-10-22,PORTFOLIO,0,10173091.487341229
2024-10-23,PORTFOLIO,0,10165597.298605267
2024-10-24,PORTFOLIO,0,10370967.649984661
2024-10-25,PORTFOLIO,0,10432266.200704876
2024-10-28,PORTFOLIO,0,10402837.04517204
2024-10-29,PORTFOLIO,0,10384492.66084892
2024-10-30,PORTFOLIO,0,10363877.77940971
2024-10-31,PORTFOLIO,0,10200688.160223309
2024-11-01,PORTFOLIO,0,10169133.265158001
2024-11-04,PORTFOLIO,0,10218651.623312298
2024-11-05,PORTFOLIO,0,10278488.223669354
2024-11-06,PORTFOLIO,0,10513481.101507489
2024-11-07,PORTFOLIO,0,10614953.05197746
